,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,CLE,Andrew Wiggins,Kansas,6,410,14734,8023,1751,900,.441,.333,.735,35.9,19.6,4.3,2.2,14.1,.046,-2.4,-1.6
1,2,MIL,Jabari Parker,Duke,6,257,7615,3902,1479,541,.493,.332,.737,29.6,15.2,5.8,2.1,12.4,.078,-1.4,1.1
2,3,PHI,Joel Embiid,Kansas,4,165,5053,3994,1891,521,.480,.318,.790,30.6,24.2,11.5,3.2,17.8,.169,3.5,7.0
3,4,ORL,Aaron Gordon,Arizona,6,351,9805,4385,2167,763,.451,.320,.707,27.9,12.5,6.2,2.2,18.8,.092,0.2,5.5
4,5,UTA,Dante Exum,,4,204,3944,1207,357,462,.400,.304,.770,19.3,5.9,1.8,2.3,2.7,.033,-3.3,-1.3
5,6,BOS,Marcus Smart,Oklahoma State,6,350,9965,3274,1234,1379,.373,.313,.765,28.5,9.4,3.5,3.9,17.1,.082,0.7,6.7
6,7,LAL,Julius Randle,Kentucky,6,322,9225,4956,2859,889,.499,.297,.718,28.6,15.4,8.9,2.8,17.7,.092,-0.5,3.5
7,8,SAC,Nik Stauskas,Michigan,5,335,6662,2272,688,513,.389,.353,.814,19.9,6.8,2.1,1.5,3.8,.028,-3.2,-2.1
8,9,CHH,Noah Vonleh,Indiana,6,309,5428,1569,1656,238,.454,.310,.688,17.6,5.1,5.4,0.8,8.6,.076,-2.6,-0.8
9,10,PHI,Elfrid Payton,Louisiana,6,346,10206,3830,1503,2258,.453,.307,.632,29.5,11.1,4.3,6.5,13.4,.063,-0.3,4.3
10,11,DEN,Doug McDermott,Creighton,6,352,7025,2757,755,285,.458,.405,.826,20.0,7.8,2.1,0.8,10.9,.075,-3.0,-1.8
11,12,ORL,Dario Šarić,,4,250,6741,3140,1550,533,.433,.359,.834,27.0,12.6,6.2,2.1,11.7,.083,-0.5,2.6
12,13,MIN,Zach LaVine,UCLA,6,304,9124,4930,1036,1067,.445,.373,.822,30.0,16.2,3.4,3.5,8.4,.044,-1.5,1.1
13,14,PHO,T.J. Warren,NC State,6,272,7613,3957,1114,308,.499,.337,.766,28.0,14.5,4.1,1.1,13.9,.088,-1.3,1.4
14,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.5,-1.2
15,16,CHI,Jusuf Nurkić,,5,310,7103,3608,2480,589,.491,.071,.666,22.9,11.6,8.0,1.9,16.4,.111,1.3,5.9
16,17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-4.0,-0.4
17,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-4.6,-1.5
18,19,CHI,Gary Harris,Michigan State,6,322,9205,3988,832,678,.458,.364,.800,28.6,12.4,2.6,2.1,16.3,.085,-0.1,4.3
19,20,TOR,Bruno Caboclo,,6,76,1084,361,211,63,.394,.333,.839,14.3,4.8,2.8,0.8,1.2,.053,-1.2,0.2
20,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-3.1,-0.2
21,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,-0.5,0.1
